




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of gap junction assembly (GO:1903598)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
positive regulation of B cell apoptotic process (GO:0002904)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
regulation of short-term neuronal synaptic plasticity (GO:0048172)	15	1	.23	+	4.40	2.14E-01	1.51E00
regulation of reciprocal meiotic recombination (GO:0010520)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
positive regulation of lymphocyte anergy (GO:0002913)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
myotube differentiation involved in skeletal muscle regeneration (GO:0014908)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
regulation of lung blood pressure (GO:0014916)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
vascular endothelial growth factor production (GO:0010573)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
lymph vessel morphogenesis (GO:0036303)	15	1	.23	+	4.40	2.14E-01	1.51E00
negative regulation of lamellipodium assembly (GO:0010593)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
regulation of spontaneous neurotransmitter secretion (GO:1904048)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
spermidine biosynthetic process (GO:0008295)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
negative regulation of sensory perception of pain (GO:1904057)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
nitric oxide transport (GO:0030185)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)	15	1	.23	+	4.40	2.14E-01	1.51E00
regulation of protein O-linked glycosylation (GO:1904098)	3	0	.05	-	 < 0.01	1.00E00	1.51E00
response to biotic stimulus (GO:0009607)	921	9	13.96	-	.64	2.12E-01	1.52E00
optic cup formation involved in camera-type eye development (GO:0003408)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
ciliary receptor clustering involved in smoothened signaling pathway (GO:0060830)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
lymphatic endothelial cell fate commitment (GO:0060838)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
nose development (GO:0043584)	15	1	.23	+	4.40	2.14E-01	1.52E00
blood vessel endothelial cell fate commitment (GO:0060846)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
endothelial cell fate specification (GO:0060847)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
signal transduction by trans-phosphorylation (GO:0023016)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
termination of signal transduction (GO:0023021)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
quinolinate biosynthetic process (GO:0019805)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
negative regulation of growth of symbiont in host (GO:0044130)	15	1	.23	+	4.40	2.14E-01	1.52E00
canonical Wnt signaling pathway involved in heart development (GO:0061316)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
5-methylcytosine metabolic process (GO:0019857)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
uracil metabolic process (GO:0019860)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of complement-dependent cytotoxicity (GO:1903659)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
negative regulation of complement-dependent cytotoxicity (GO:1903660)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of acyl-CoA biosynthetic process (GO:0050812)	15	1	.23	+	4.40	2.14E-01	1.52E00
regulation of cap-independent translational initiation (GO:1903677)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
positive regulation of cap-independent translational initiation (GO:1903679)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
positive regulation of Wnt protein secretion (GO:0061357)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
mRNA localization resulting in posttranscriptional regulation of gene expression (GO:0010609)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
neuromuscular process controlling posture (GO:0050884)	15	1	.23	+	4.40	2.14E-01	1.52E00
apoptotic process involved in luteolysis (GO:0061364)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
behavioral response to chemical pain (GO:0061366)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
behavioral response to formalin induced pain (GO:0061368)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
negative regulation of transcription by transcription factor localization (GO:0010621)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
heparan sulfate proteoglycan catabolic process (GO:0030200)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
induction of positive chemotaxis (GO:0050930)	15	1	.23	+	4.40	2.14E-01	1.52E00
positive regulation of mitochondrial fusion (GO:0010636)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
cell communication by chemical coupling (GO:0010643)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
eosinophil differentiation (GO:0030222)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
positive regulation of protein O-linked glycosylation (GO:1904100)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
protein kinase D signaling (GO:0089700)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	15	1	.23	+	4.40	2.14E-01	1.52E00
L-histidine transmembrane transport (GO:0089709)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
response to vasopressin (GO:1904116)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
cellular response to vasopressin (GO:1904117)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
terpene metabolic process (GO:0042214)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of mitophagy (GO:1901524)	15	1	.23	+	4.40	2.14E-01	1.52E00
response to clozapine (GO:0097338)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of microglial cell migration (GO:1904139)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
'de novo' NAD biosynthetic process from aspartate (GO:0034628)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
negative regulation of alkaline phosphatase activity (GO:0010693)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
positive regulation of centriole replication (GO:0046601)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
cellular response to oxygen radical (GO:0071450)	15	1	.23	+	4.40	2.14E-01	1.52E00
positive regulation of retrograde protein transport, ER to cytosol (GO:1904154)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
axonemal central apparatus assembly (GO:1904158)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
cortisol biosynthetic process (GO:0034651)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
interneuron axon guidance (GO:0097376)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
alpha-beta T cell proliferation (GO:0046633)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
cellular response to superoxide (GO:0071451)	15	1	.23	+	4.40	2.14E-01	1.52E00
cellular protein metabolic process (GO:0044267)	3830	49	58.06	-	.84	2.13E-01	1.52E00
mesenchymal cell proliferation involved in lung development (GO:0060916)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
sinoatrial node cell differentiation (GO:0060921)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
cardiac fibroblast cell differentiation (GO:0060935)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
cardiac fibroblast cell development (GO:0060936)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
catecholamine transport (GO:0051937)	15	1	.23	+	4.40	2.14E-01	1.52E00
epicardium-derived cardiac fibroblast cell differentiation (GO:0060938)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
epicardium-derived cardiac fibroblast cell development (GO:0060939)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of retinal cell programmed cell death (GO:0046668)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
angiogenesis involved in coronary vascular morphogenesis (GO:0060978)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of I-kappaB phosphorylation (GO:1903719)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
phosphatidylethanolamine biosynthetic process (GO:0006646)	15	1	.23	+	4.40	2.14E-01	1.52E00
positive regulation of I-kappaB phosphorylation (GO:1903721)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
modulation by virus of host apoptotic process (GO:0039526)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
MDA-5 signaling pathway (GO:0039530)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903760)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of potassium ion export across plasma membrane (GO:1903764)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
nephric duct development (GO:0072176)	15	1	.23	+	4.40	2.14E-01	1.52E00
positive regulation of viral budding via host ESCRT complex (GO:1903774)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
positive regulation of cardiac conduction (GO:1903781)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
positive regulation of inorganic anion transmembrane transport (GO:1903797)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of collagen catabolic process (GO:0010710)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
negative regulation of ATP biosynthetic process (GO:2001170)	15	1	.23	+	4.40	2.14E-01	1.52E00
negative regulation of hydrogen peroxide biosynthetic process (GO:0010730)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
prenylated protein catabolic process (GO:0030327)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
positive regulation of nitric oxide mediated signal transduction (GO:0010750)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
negative regulation of nitric oxide mediated signal transduction (GO:0010751)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010767)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
heart trabecula formation (GO:0060347)	15	1	.23	+	4.40	2.14E-01	1.52E00
regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904217)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904219)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
positive regulation of serine C-palmitoyltransferase activity (GO:1904222)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
cuticle development (GO:0042335)	3	0	.05	-	 < 0.01	1.00E00	1.52E00
polyprenol biosynthetic process (GO:0016094)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
nitrogen cycle metabolic process (GO:0071941)	15	1	.23	+	4.40	2.14E-01	1.53E00
regulation of multivesicular body size (GO:0010796)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
positive regulation of bile acid metabolic process (GO:1904253)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
GDP-L-fucose biosynthetic process (GO:0042350)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
water-soluble vitamin catabolic process (GO:0042365)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
vitamin D biosynthetic process (GO:0042368)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
lateral motor column neuron migration (GO:0097477)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
vitamin D catabolic process (GO:0042369)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
phylloquinone metabolic process (GO:0042374)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
phylloquinone catabolic process (GO:0042376)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
basement membrane disassembly (GO:0034769)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
basal dendrite development (GO:0150018)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
basal dendrite morphogenesis (GO:0150019)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
basal dendrite arborization (GO:0150020)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
intracellular copper ion transport (GO:0015680)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
iron chelate transport (GO:0015688)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
central nervous system segmentation (GO:0035283)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
brain segmentation (GO:0035284)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
trunk segmentation (GO:0035290)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
modulation by virus of host gene expression (GO:0039656)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
tetraterpenoid metabolic process (GO:0016108)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
carotenoid metabolic process (GO:0016116)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
negative stranded viral RNA replication (GO:0039689)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
calcium ion transmembrane transport via high voltage-gated calcium channel (GO:0061577)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
negative regulation of protein ADP-ribosylation (GO:0010836)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
epinephrine metabolic process (GO:0042414)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
serotonin biosynthetic process (GO:0042427)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
negative regulation of dopaminergic neuron differentiation (GO:1904339)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
regulation of small intestine smooth muscle contraction (GO:1904347)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
regulation of extent of cell growth (GO:0061387)	105	3	1.59	+	1.88	2.19E-01	1.53E00
positive regulation of small intestine smooth muscle contraction (GO:1904349)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
regulation of phosphatidylcholine catabolic process (GO:0010899)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
photoreceptor cell morphogenesis (GO:0008594)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
negative regulation of protein catabolic process in the vacuole (GO:1904351)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
arginine biosynthetic process via ornithine (GO:0042450)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
neural tube formation (GO:0001841)	105	3	1.59	+	1.88	2.19E-01	1.53E00
maintenance of unfolded protein involved in ERAD pathway (GO:1904378)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
anatomical structure morphogenesis (GO:0009653)	2074	38	31.44	+	1.21	2.19E-01	1.53E00
Golgi apparatus mannose trimming (GO:1904381)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
response to sodium phosphate (GO:1904383)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
positive regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904395)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
gamma-delta T cell differentiation (GO:0042492)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
Purkinje myocyte action potential (GO:0086017)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
positive regulation of saliva secretion (GO:0046878)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
membrane depolarization during Purkinje myocyte cell action potential (GO:0086047)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
membrane depolarization during bundle of His cell action potential (GO:0086048)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
pentose-phosphate shunt, oxidative branch (GO:0009051)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
alpha-ketoglutarate transport (GO:0015742)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
cysteine catabolic process (GO:0009093)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
disaccharide transport (GO:0015766)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
coenzyme A transmembrane transport (GO:0035349)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
sucrose transport (GO:0015770)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
oligosaccharide transport (GO:0015772)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
carbon dioxide transmembrane transport (GO:0035378)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
regulation of response to macrophage colony-stimulating factor (GO:1903969)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
regulation of cellular response to macrophage colony-stimulating factor stimulus (GO:1903972)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
chemorepulsion of axon (GO:0061643)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
positive regulation of glial cell migration (GO:1903977)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
positive regulation of TRAIL-activated apoptotic signaling pathway (GO:1903984)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
dephosphorylation (GO:0016311)	290	7	4.40	+	1.59	2.20E-01	1.53E00
calcium ion transmembrane import into cytosol (GO:0097553)	57	2	.86	+	2.31	2.20E-01	1.53E00
negative regulation of very-low-density lipoprotein particle remodeling (GO:0010903)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
regulation of heparan sulfate proteoglycan biosynthetic process (GO:0010908)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
positive regulation of heparan sulfate proteoglycan biosynthetic process (GO:0010909)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
apoptotic process involved in morphogenesis (GO:0060561)	16	1	.24	+	4.12	2.26E-01	1.53E00
positive regulation of serine-type endopeptidase activity (GO:1900005)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
negative regulation of calcidiol 1-monooxygenase activity (GO:0010956)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
positive regulation of blood vessel diameter (GO:0097755)	57	2	.86	+	2.31	2.20E-01	1.53E00
embryonic genitalia morphogenesis (GO:0030538)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
regulation of peroxisome organization (GO:1900063)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
nucleoside bisphosphate biosynthetic process (GO:0033866)	16	1	.24	+	4.12	2.26E-01	1.53E00
regulation of vitamin D 24-hydroxylase activity (GO:0010979)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
L-arginine import across plasma membrane (GO:0097638)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
regulation of cAMP biosynthetic process (GO:0030817)	57	2	.86	+	2.31	2.20E-01	1.53E00
positive regulation of vitamin D 24-hydroxylase activity (GO:0010980)	3	0	.05	-	 < 0.01	1.00E00	1.53E00
negative regulation of t-circle formation (GO:1904430)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
positive regulation of t-circle formation (GO:1904431)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
protein localization to membrane (GO:0072657)	431	3	6.53	-	.46	2.26E-01	1.54E00
mesenchymal cell proliferation (GO:0010463)	16	1	.24	+	4.12	2.26E-01	1.54E00
hypotonic salinity response (GO:0042539)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
bile acid catabolic process (GO:0030573)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
regulation of lymphocyte apoptotic process (GO:0070228)	57	2	.86	+	2.31	2.20E-01	1.54E00
Cajal body organization (GO:0030576)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
regulation of transcription from RNA polymerase II promoter involved in determination of left/right symmetry (GO:1900094)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
glucocorticoid metabolic process (GO:0008211)	16	1	.24	+	4.12	2.26E-01	1.54E00
histone H3-K36 dimethylation (GO:0097676)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
negative regulation of intestinal absorption (GO:1904479)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
positive regulation of osteoblast differentiation (GO:0045669)	57	2	.86	+	2.31	2.20E-01	1.54E00
double-strand break repair via classical nonhomologous end joining (GO:0097680)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
double-strand break repair via alternative nonhomologous end joining (GO:0097681)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
hydroxylysine metabolic process (GO:0046946)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
hyaluronan catabolic process (GO:0030214)	16	1	.24	+	4.12	2.26E-01	1.54E00
hydroxylysine biosynthetic process (GO:0046947)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
protein localization to mitotic actomyosin contractile ring (GO:1904498)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
peptide antigen transport (GO:0046968)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	16	1	.24	+	4.12	2.26E-01	1.54E00
positive regulation of hemoglobin biosynthetic process (GO:0046985)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
pyrimidine nucleoside triphosphate catabolic process (GO:0009149)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
aspartate transmembrane transport (GO:0015810)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
purine deoxyribonucleotide biosynthetic process (GO:0009153)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
positive regulation of macrophage derived foam cell differentiation (GO:0010744)	16	1	.24	+	4.12	2.26E-01	1.54E00
leucine transport (GO:0015820)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
tryptophan transport (GO:0015827)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
chromatin silencing by small RNA (GO:0031048)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
autocrine signaling (GO:0035425)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
ventricular cardiac myofibril assembly (GO:0055005)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
regulation of triglyceride biosynthetic process (GO:0010866)	16	1	.24	+	4.12	2.26E-01	1.54E00
pyrimidine nucleobase transport (GO:0015855)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
actin filament-based movement (GO:0030048)	107	3	1.62	+	1.85	2.27E-01	1.54E00
atrial cardiac muscle cell differentiation (GO:0055011)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
atrial cardiac muscle cell development (GO:0055014)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
cell migration involved in vasculogenesis (GO:0035441)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
purine nucleotide transport (GO:0015865)	16	1	.24	+	4.12	2.26E-01	1.54E00
coenzyme A transport (GO:0015880)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
renal system process (GO:0003014)	107	3	1.62	+	1.85	2.27E-01	1.54E00
thiamine transport (GO:0015888)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
siderophore transport (GO:0015891)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
positive regulation of vascular wound healing (GO:0035470)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
penile erection (GO:0043084)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
purine-containing compound salvage (GO:0043101)	16	1	.24	+	4.12	2.26E-01	1.54E00
gastric motility (GO:0035482)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
methylglyoxal catabolic process to lactate (GO:0061727)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
gastric emptying (GO:0035483)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
late endosomal microautophagy (GO:0061738)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
nucleotide salvage (GO:0043173)	16	1	.24	+	4.12	2.26E-01	1.54E00
SNARE complex disassembly (GO:0035494)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
protein targeting to lysosome involved in chaperone-mediated autophagy (GO:0061740)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
lipoprotein particle mediated signaling (GO:0055095)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
low-density lipoprotein particle mediated signaling (GO:0055096)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
regulation of hyaluranon cable assembly (GO:1900104)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
proton-transporting two-sector ATPase complex assembly (GO:0070071)	16	1	.24	+	4.12	2.26E-01	1.54E00
CAMKK-AMPK signaling cascade (GO:0061762)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
positive regulation of hyaluranon cable assembly (GO:1900106)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
response to caloric restriction (GO:0061771)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
positive regulation of histone H3-K9 trimethylation (GO:1900114)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
negative regulation of cardiocyte differentiation (GO:1905208)	16	1	.24	+	4.12	2.26E-01	1.54E00
negative regulation of hyaluronan biosynthetic process (GO:1900126)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
dense core granule priming (GO:0061789)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
meiotic chromosome movement towards spindle pole (GO:0016344)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
negative regulation of phospholipase A2 activity (GO:1900138)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
regulation of defense response to bacterium (GO:1900424)	16	1	.24	+	4.12	2.26E-01	1.54E00
negative regulation of bone mineralization involved in bone maturation (GO:1900158)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry (GO:1900164)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
negative regulation of microtubule binding (GO:1904527)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
regulation of telomeric loop disassembly (GO:1904533)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
cellular response to water deprivation (GO:0042631)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949)	16	1	.24	+	4.12	2.26E-01	1.54E00
mitochondrial tRNA 5'-end processing (GO:0097745)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
regulation of DNA stability (GO:0097752)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
negative regulation of oocyte maturation (GO:1900194)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
auditory receptor cell fate determination (GO:0042668)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
semi-lunar valve development (GO:1905314)	16	1	.24	+	4.12	2.26E-01	1.54E00
pyrimidine deoxyribonucleoside triphosphate catabolic process (GO:0009213)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
positive regulation of microtubule depolymerization (GO:0031117)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
menaquinone metabolic process (GO:0009233)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
cobalamin biosynthetic process (GO:0009236)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
sister chromatid biorientation (GO:0031134)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
positive regulation of membrane protein ectodomain proteolysis (GO:0051044)	16	1	.24	+	4.12	2.26E-01	1.54E00
replication fork arrest (GO:0043111)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
diadenosine polyphosphate biosynthetic process (GO:0015960)	3	0	.05	-	 < 0.01	1.00E00	1.54E00
diadenosine tetraphosphate metabolic process (GO:0015965)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
diadenosine tetraphosphate biosynthetic process (GO:0015966)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
response to potassium ion (GO:0035864)	16	1	.24	+	4.12	2.26E-01	1.55E00
negative regulation of SNARE complex assembly (GO:0035544)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
negative regulation of vascular smooth muscle cell differentiation (GO:1905064)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
oxidative single-stranded DNA demethylation (GO:0035552)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
oxidative single-stranded RNA demethylation (GO:0035553)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
maltose metabolic process (GO:0000023)	3	0	.05	-	 < 0.01	1.00E00	1.55E00
